intent,question,answer,label,clean_question,tokens
Troubleshooting Pendaftaran Rawat Jalan,Tombol update DPJP tidak bekerja,"Pastikan dokter DPJP dipilih lengkap, browser mendukung script, dan refresh halaman.",Pendaftaran Rawat Jalan,tombol update dpjp tidak bekerja,"['tombol', 'update', 'dpjp']"
Troubleshooting Pendaftaran Rawat Jalan,Warna status antrian tidak berubah,"Klik Refresh, pastikan filter status pasien sesuai.",Pendaftaran Rawat Jalan,warna status antrian tidak berubah,"['warna', 'status', 'antrian', 'berubah']"
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa hapus data wali,Pastikan wali yang ingin dihapus tidak aktif sebagai penanggung pasien.,Pendaftaran Rawat Jalan,tidak bisa hapus data wali,"['hapus', 'data', 'wali']"
Troubleshooting Pendaftaran Rawat Jalan,Error saat input diagnosa awal,"Pastikan field diagnosa awal diisi, format teks standar, lalu klik Simpan.",Pendaftaran Rawat Jalan,error saat input diagnosa awal,"['error', 'input', 'diagnosa']"
Troubleshooting Pendaftaran Rawat Jalan,List verifikasi pasien kosong,"Refresh halaman, pastikan filter status pasien sesuai.",Pendaftaran Rawat Jalan,list verifikasi pasien kosong,"['list', 'verifikasi', 'pasien', 'kosong']"
Troubleshooting Pendaftaran Rawat Jalan,Error saat pilih cara masuk pasien,Pastikan dropdown Cara Masuk diisi dengan opsi yang tersedia.,Pendaftaran Rawat Jalan,error saat pilih cara masuk pasien,"['error', 'pilih', 'masuk', 'pasien']"
Troubleshooting Pendaftaran Rawat Jalan,Data pasien Prolanis tidak muncul,Pastikan pasien terdaftar Prolanis dan pilih layanan sesuai.,Pendaftaran Rawat Jalan,data pasien prolanis tidak muncul,"['data', 'pasien', 'prolanis', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Tombol batalkan transaksi tidak aktif,"Pastikan pasien belum diproses lebih lanjut, refresh halaman bila perlu.",Pendaftaran Rawat Jalan,tombol batalkan transaksi tidak aktif,"['tombol', 'batalkan', 'transaksi', 'aktif']"
Troubleshooting Pendaftaran Rawat Jalan,Data pembayaran tidak muncul,Pastikan jenis pasien dan jenis pembayaran sudah dipilih.,Pendaftaran Rawat Jalan,data pembayaran tidak muncul,"['data', 'pembayaran', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Error saat upload foto pasien,"Pastikan format JPG/PNG, maksimal 1 MB, refresh browser jika perlu.",Pendaftaran Rawat Jalan,error saat upload foto pasien,"['error', 'upload', 'foto', 'pasien']"
Troubleshooting Pendaftaran Rawat Jalan,Sistem lambat saat pilih dokter,"Kurangi filter kompleks, refresh halaman, dan pastikan kuota dokter tersedia.",Pendaftaran Rawat Jalan,sistem lambat saat pilih dokter,"['sistem', 'lambat', 'pilih', 'dokter']"
Troubleshooting Pendaftaran Rawat Jalan,Data pasien ganda muncul,"Periksa NIK pasien, hapus data duplikat, dan refresh daftar pasien.",Pendaftaran Rawat Jalan,data pasien ganda muncul,"['data', 'pasien', 'ganda', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Form SLA tidak tampil,"Pastikan pasien sudah tersimpan, lalu refresh halaman.",Pendaftaran Rawat Jalan,form sla tidak tampil,"['form', 'sla', 'tampil']"
Troubleshooting Pendaftaran Rawat Jalan,Error saat cetak ID card pasien,"Periksa printer, popup blocker, refresh browser, dan coba ulang.",Pendaftaran Rawat Jalan,error saat cetak id card pasien,"['error', 'cetak', 'id', 'card', 'pasien']"
Troubleshooting Pendaftaran Rawat Jalan,Upload dokumen tambahan error,"Periksa ukuran file, format, ulangi upload, atau hubungi admin IT.",Pendaftaran Rawat Jalan,upload dokumen tambahan error,"['upload', 'dokumen', 'tambahan', 'error']"
Troubleshooting Pendaftaran Rawat Jalan,Data pasien rujukan tidak muncul,"Pastikan asal rujukan, nomor, dan tanggal rujukan sudah lengkap, klik Refresh.",Pendaftaran Rawat Jalan,data pasien rujukan tidak muncul,"['data', 'pasien', 'rujukan', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Filter status pasien tidak bekerja,"Pastikan filter aktif, klik Refresh, dan cek data pasien.",Pendaftaran Rawat Jalan,filter status pasien tidak bekerja,"['filter', 'status', 'pasien']"
Troubleshooting Pendaftaran Rawat Jalan,Data pasien tidak muncul di list kontrol ulang,"Klik Refresh, pastikan tanggal kontrol benar.",Pendaftaran Rawat Jalan,data pasien tidak muncul di list kontrol ulang,"['data', 'pasien', 'muncul', 'list', 'kontrol', 'ulang']"
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa cetak CPPT,"Pastikan data pasien tersimpan, browser mendukung script, dan klik Refresh.",Pendaftaran Rawat Jalan,tidak bisa cetak cppt,"['cetak', 'cppt']"
Troubleshooting Pendaftaran Rawat Jalan,Error saat pilih layanan Non-Kronis,"Pastikan pasien kategori umum, refresh halaman jika tidak muncul.",Pendaftaran Rawat Jalan,error saat pilih layanan non kronis,"['error', 'pilih', 'layanan', 'non', 'kronis']"
Troubleshooting Pendaftaran Rawat Jalan,Sistem menolak NIK pasien,"Pastikan NIK 16 digit, tanpa spasi atau karakter lain.",Pendaftaran Rawat Jalan,sistem menolak nik pasien,"['sistem', 'menolak', 'nik', 'pasien']"
Troubleshooting Pendaftaran Rawat Jalan,Tombol update catatan medis tidak aktif,Pastikan semua field wajib diisi dan klik Simpan.,Pendaftaran Rawat Jalan,tombol update catatan medis tidak aktif,"['tombol', 'update', 'catatan', 'medis', 'aktif']"
Troubleshooting Pendaftaran Rawat Jalan,Rekam medis elektronik tidak muncul,"Pastikan pasien sudah disimpan, refresh halaman, dan cek hak akses.",Pendaftaran Rawat Jalan,rekam medis elektronik tidak muncul,"['rekam', 'medis', 'elektronik', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa klik tombol daftar,"Pastikan semua field wajib sudah diisi, termasuk jenis layanan dan dokter DPJP.",Pendaftaran Rawat Jalan,tidak bisa klik tombol daftar,"['klik', 'tombol', 'daftar']"
Troubleshooting Pendaftaran Rawat Jalan,Data pasien baru tidak muncul di List Pasien,"Klik Refresh, pastikan filter status pasien sesuai, dan koneksi internet stabil.",Pendaftaran Rawat Jalan,data pasien baru tidak muncul di list pasien,"['data', 'pasien', 'muncul', 'list', 'pasien']"
Troubleshooting Pendaftaran Rawat Jalan,Tombol cetak status rawat jalan tidak aktif,"Pastikan data pasien sudah tersimpan lengkap, refresh halaman jika perlu.",Pendaftaran Rawat Jalan,tombol cetak status rawat jalan tidak aktif,"['tombol', 'cetak', 'status', 'rawat', 'jalan', 'aktif']"
Troubleshooting Pendaftaran Rawat Jalan,List pasien Booking error,"Pastikan pasien sudah melakukan booking, filter status aktif, klik Refresh.",Pendaftaran Rawat Jalan,list pasien booking error,"['list', 'pasien', 'booking', 'error']"
Troubleshooting Pendaftaran Rawat Jalan,Form pembayaran tidak muncul,"Pilih jenis pasien (umum, BPJS, karyawan, asuransi), refresh halaman jika perlu.",Pendaftaran Rawat Jalan,form pembayaran tidak muncul,"['form', 'pembayaran', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Error saat memilih unit poli,"Pastikan unit poli dipilih dari dropdown, refresh halaman bila sistem lambat.",Pendaftaran Rawat Jalan,error saat memilih unit poli,"['error', 'memilih', 'unit', 'poli']"
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa hapus data pasien,"Pastikan pasien belum diproses lebih lanjut, atau hubungi admin IT.",Pendaftaran Rawat Jalan,tidak bisa hapus data pasien,"['hapus', 'data', 'pasien']"
Troubleshooting Pendaftaran Rawat Jalan,Warna antrian pasien tidak berubah,"Klik Refresh, pastikan filter status pasien sudah sesuai.",Pendaftaran Rawat Jalan,warna antrian pasien tidak berubah,"['warna', 'antrian', 'pasien', 'berubah']"
Troubleshooting Pendaftaran Rawat Jalan,Nomor rekam medis pasien tidak muncul,"Pastikan semua field wajib sudah lengkap, lalu klik Simpan, refresh halaman bila perlu.",Pendaftaran Rawat Jalan,nomor rekam medis pasien tidak muncul,"['nomor', 'rekam', 'medis', 'pasien', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Error saat pilih dokter DPJP,"Pastikan jadwal dokter tersedia, kuota tidak penuh, filter unit poli sesuai.",Pendaftaran Rawat Jalan,error saat pilih dokter dpjp,"['error', 'pilih', 'dokter', 'dpjp']"
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa upload foto pasien,"Periksa format file (JPG/PNG), ukuran maksimal 1 MB, refresh browser.",Pendaftaran Rawat Jalan,tidak bisa upload foto pasien,"['upload', 'foto', 'pasien']"
Troubleshooting Pendaftaran Rawat Jalan,Form diagnosa awal tetap kosong,"Field diagnosa awal wajib diisi, lalu klik Simpan.",Pendaftaran Rawat Jalan,form diagnosa awal tetap kosong,"['form', 'diagnosa', 'kosong']"
Troubleshooting Pendaftaran Rawat Jalan,Tombol update data wali tidak aktif,Pastikan field nama dan nomor kontak wali sudah terisi lengkap.,Pendaftaran Rawat Jalan,tombol update data wali tidak aktif,"['tombol', 'update', 'data', 'wali', 'aktif']"
Troubleshooting Pendaftaran Rawat Jalan,Data pasien Prolanis tidak muncul,"Pastikan pasien terdaftar Prolanis dan pilih layanan Prolanis, klik Refresh.",Pendaftaran Rawat Jalan,data pasien prolanis tidak muncul,"['data', 'pasien', 'prolanis', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Error saat pilih layanan PRB,Pastikan pasien memiliki riwayat penyakit kronis dan data BPJS valid.,Pendaftaran Rawat Jalan,error saat pilih layanan prb,"['error', 'pilih', 'layanan', 'prb']"
Troubleshooting Pendaftaran Rawat Jalan,List pasien kontrol ulang kosong,Pastikan pasien sudah dijadwalkan kontrol ulang dan filter tanggal benar.,Pendaftaran Rawat Jalan,list pasien kontrol ulang kosong,"['list', 'pasien', 'kontrol', 'ulang', 'kosong']"
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa cetak stiker pasien,"Periksa koneksi printer, popup blocker, refresh browser, coba ulang.",Pendaftaran Rawat Jalan,tidak bisa cetak stiker pasien,"['cetak', 'stiker', 'pasien']"
Troubleshooting Pendaftaran Rawat Jalan,Upload dokumen tambahan tidak berhasil,"Pastikan ukuran file sesuai, format file mendukung, ulangi upload.",Pendaftaran Rawat Jalan,upload dokumen tambahan tidak berhasil,"['upload', 'dokumen', 'tambahan', 'berhasil']"
Troubleshooting Pendaftaran Rawat Jalan,Sistem error saat cetak CPPT,"Pastikan semua data medis lengkap dan browser mendukung script, klik Refresh.",Pendaftaran Rawat Jalan,sistem error saat cetak cppt,"['sistem', 'error', 'cetak', 'cppt']"
Troubleshooting Pendaftaran Rawat Jalan,Face recognition gagal,"Pastikan wajah jelas, pencahayaan cukup, ulangi verifikasi.",Pendaftaran Rawat Jalan,face recognition gagal,"['face', 'recognition', 'gagal']"
Troubleshooting Pendaftaran Rawat Jalan,Layanan Non-Kronis tidak muncul,"Pastikan pasien kategori umum, refresh halaman, pilih layanan Non-Kronis.",Pendaftaran Rawat Jalan,layanan non kronis tidak muncul,"['layanan', 'non', 'kronis', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Sistem menolak NIK pasien,"Pastikan NIK 16 digit, tanpa spasi atau karakter lain.",Pendaftaran Rawat Jalan,sistem menolak nik pasien,"['sistem', 'menolak', 'nik', 'pasien']"
Troubleshooting Pendaftaran Rawat Jalan,Tombol update catatan medis tidak aktif,"Pastikan semua field wajib sudah diisi, klik Simpan, refresh halaman bila perlu.",Pendaftaran Rawat Jalan,tombol update catatan medis tidak aktif,"['tombol', 'update', 'catatan', 'medis', 'aktif']"
Troubleshooting Pendaftaran Rawat Jalan,Rekam medis elektronik tidak tampil,"Pastikan pasien sudah tersimpan, refresh halaman, dan cek hak akses.",Pendaftaran Rawat Jalan,rekam medis elektronik tidak tampil,"['rekam', 'medis', 'elektronik', 'tampil']"
Troubleshooting Pendaftaran Rawat Jalan,Error saat pilih paket layanan,"Pastikan opsi Layanan Paket dipilih Ya, refresh halaman.",Pendaftaran Rawat Jalan,error saat pilih paket layanan,"['error', 'pilih', 'paket', 'layanan']"
Troubleshooting Pendaftaran Rawat Jalan,Nomor SEP tidak otomatis muncul,"Pastikan pasien terdaftar BPJS, pilih layanan BPJS, klik Refresh.",Pendaftaran Rawat Jalan,nomor sep tidak otomatis muncul,"['nomor', 'sep', 'otomatis', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Data pasien rujukan tidak muncul,"Pastikan asal rujukan, nomor, tanggal sudah lengkap, klik Refresh.",Pendaftaran Rawat Jalan,data pasien rujukan tidak muncul,"['data', 'pasien', 'rujukan', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Error saat pilih cara masuk pasien,Pastikan dropdown Cara Masuk sesuai opsi yang tersedia.,Pendaftaran Rawat Jalan,error saat pilih cara masuk pasien,"['error', 'pilih', 'masuk', 'pasien']"
Troubleshooting Pendaftaran Rawat Jalan,Tombol batalkan transaksi tidak aktif,"Pastikan pasien belum diproses, refresh halaman bila perlu.",Pendaftaran Rawat Jalan,tombol batalkan transaksi tidak aktif,"['tombol', 'batalkan', 'transaksi', 'aktif']"
Troubleshooting Pendaftaran Rawat Jalan,Filter status pasien tidak bekerja,"Pastikan filter aktif, klik Refresh, cek data pasien.",Pendaftaran Rawat Jalan,filter status pasien tidak bekerja,"['filter', 'status', 'pasien']"
Troubleshooting Pendaftaran Rawat Jalan,Data pasien tidak muncul di list kontrol ulang,"Klik Refresh, pastikan tanggal kontrol sesuai.",Pendaftaran Rawat Jalan,data pasien tidak muncul di list kontrol ulang,"['data', 'pasien', 'muncul', 'list', 'kontrol', 'ulang']"
Troubleshooting Pendaftaran Rawat Jalan,Catatan khusus pasien tidak tersimpan,"Klik Update/Save setelah mengisi catatan, refresh halaman bila perlu.",Pendaftaran Rawat Jalan,catatan khusus pasien tidak tersimpan,"['catatan', 'khusus', 'pasien', 'tersimpan']"
Troubleshooting Pendaftaran Rawat Jalan,Error saat input pendidikan atau pekerjaan,"Gunakan format teks standar, klik Simpan.",Pendaftaran Rawat Jalan,error saat input pendidikan atau pekerjaan,"['error', 'input', 'pendidikan', 'pekerjaan']"
Troubleshooting Pendaftaran Rawat Jalan,Sistem lambat saat pilih dokter,"Kurangi filter kompleks, refresh halaman, pastikan kuota dokter tersedia.",Pendaftaran Rawat Jalan,sistem lambat saat pilih dokter,"['sistem', 'lambat', 'pilih', 'dokter']"
Troubleshooting Pendaftaran Rawat Jalan,Data pasien ganda muncul,"Periksa NIK, hapus duplikat, refresh daftar pasien.",Pendaftaran Rawat Jalan,data pasien ganda muncul,"['data', 'pasien', 'ganda', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Kenapa daftar pasien kontrol ulang tidak muncul?,"Pastikan pasien sudah dijadwalkan kontrol ulang, periksa tanggal, klik Refresh.",Pendaftaran Rawat Jalan,kenapa daftar pasien kontrol ulang tidak muncul,"['daftar', 'pasien', 'kontrol', 'ulang', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Bagaimana jika warna status antrian tidak berubah?,"Klik Refresh, pastikan filter status pasien sudah sesuai.",Pendaftaran Rawat Jalan,bagaimana jika warna status antrian tidak berubah,"['warna', 'status', 'antrian', 'berubah']"
Troubleshooting Pendaftaran Rawat Jalan,Tombol cetak ID card tidak aktif,"Pastikan semua data pasien tersimpan lengkap, refresh halaman, cek popup blocker.",Pendaftaran Rawat Jalan,tombol cetak id card tidak aktif,"['tombol', 'cetak', 'id', 'card', 'aktif']"
Troubleshooting Pendaftaran Rawat Jalan,Data pasien booking hilang,"Pastikan pasien sudah melakukan booking, filter status aktif, klik Refresh.",Pendaftaran Rawat Jalan,data pasien booking hilang,"['data', 'pasien', 'booking', 'hilang']"
Troubleshooting Pendaftaran Rawat Jalan,Error saat pilih dokter spesialis,"Pastikan dokter tersedia pada unit poli dan kuota belum penuh, refresh halaman jika perlu.",Pendaftaran Rawat Jalan,error saat pilih dokter spesialis,"['error', 'pilih', 'dokter', 'spesialis']"
Troubleshooting Pendaftaran Rawat Jalan,Data wali tidak bisa dihapus,"Pastikan wali tidak aktif sebagai penanggung pasien, klik Update, refresh halaman.",Pendaftaran Rawat Jalan,data wali tidak bisa dihapus,"['data', 'wali', 'dihapus']"
Troubleshooting Pendaftaran Rawat Jalan,Upload dokumen pendukung gagal,"Pastikan file sesuai format (PDF, JPG, PNG), ukuran maksimal, dan koneksi stabil.",Pendaftaran Rawat Jalan,upload dokumen pendukung gagal,"['upload', 'dokumen', 'pendukung', 'gagal']"
Troubleshooting Pendaftaran Rawat Jalan,Catatan medis CPPT tidak muncul,"Pastikan data pasien sudah tersimpan lengkap, klik Refresh.",Pendaftaran Rawat Jalan,catatan medis cppt tidak muncul,"['catatan', 'medis', 'cppt', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Face recognition error,"Pastikan wajah pasien jelas, pencahayaan cukup, ulangi verifikasi.",Pendaftaran Rawat Jalan,face recognition error,"['face', 'recognition', 'error']"
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa pilih layanan PRB,"Pastikan pasien memiliki penyakit kronis, BPJS aktif, refresh halaman.",Pendaftaran Rawat Jalan,tidak bisa pilih layanan prb,"['pilih', 'layanan', 'prb']"
Troubleshooting Pendaftaran Rawat Jalan,Form Non-Kronis tidak muncul,"Pastikan pasien kategori umum, klik refresh, pilih layanan Non-Kronis.",Pendaftaran Rawat Jalan,form non kronis tidak muncul,"['form', 'non', 'kronis', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Nomor SEP BPJS tidak otomatis muncul,"Pastikan pasien terdaftar BPJS, pilih layanan BPJS, klik Refresh.",Pendaftaran Rawat Jalan,nomor sep bpjs tidak otomatis muncul,"['nomor', 'sep', 'bpjs', 'otomatis', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Data pasien rujukan tidak tampil,"Pastikan asal rujukan, nomor, dan tanggal rujukan sudah lengkap, klik Refresh.",Pendaftaran Rawat Jalan,data pasien rujukan tidak tampil,"['data', 'pasien', 'rujukan', 'tampil']"
Troubleshooting Pendaftaran Rawat Jalan,Tombol batalkan transaksi tidak aktif,"Pastikan pasien belum diproses lebih lanjut, refresh halaman bila perlu.",Pendaftaran Rawat Jalan,tombol batalkan transaksi tidak aktif,"['tombol', 'batalkan', 'transaksi', 'aktif']"
Troubleshooting Pendaftaran Rawat Jalan,Filter status pasien tidak bekerja,"Pastikan filter aktif, klik Refresh, cek data pasien.",Pendaftaran Rawat Jalan,filter status pasien tidak bekerja,"['filter', 'status', 'pasien']"
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa cetak stiker pasien,"Periksa printer, klik Refresh, pastikan popup blocker tidak aktif.",Pendaftaran Rawat Jalan,tidak bisa cetak stiker pasien,"['cetak', 'stiker', 'pasien']"
Troubleshooting Pendaftaran Rawat Jalan,Upload foto pasien error,"Pastikan format JPG/PNG, ukuran maksimal 1 MB, refresh browser.",Pendaftaran Rawat Jalan,upload foto pasien error,"['upload', 'foto', 'pasien', 'error']"
Troubleshooting Pendaftaran Rawat Jalan,Tombol update catatan khusus tidak bekerja,"Pastikan semua field wajib sudah diisi, klik Simpan, refresh halaman bila perlu.",Pendaftaran Rawat Jalan,tombol update catatan khusus tidak bekerja,"['tombol', 'update', 'catatan', 'khusus']"
Troubleshooting Pendaftaran Rawat Jalan,Rekam medis elektronik tidak muncul,"Pastikan pasien sudah disimpan, refresh halaman, cek hak akses.",Pendaftaran Rawat Jalan,rekam medis elektronik tidak muncul,"['rekam', 'medis', 'elektronik', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Sistem lambat saat memilih dokter,"Kurangi filter kompleks, refresh halaman, pastikan kuota dokter tersedia.",Pendaftaran Rawat Jalan,sistem lambat saat memilih dokter,"['sistem', 'lambat', 'memilih', 'dokter']"
Troubleshooting Pendaftaran Rawat Jalan,Data pasien ganda muncul,"Periksa NIK pasien, hapus duplikat, refresh daftar pasien.",Pendaftaran Rawat Jalan,data pasien ganda muncul,"['data', 'pasien', 'ganda', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Layanan paket tidak muncul,"Pastikan opsi Layanan Paket dipilih Ya, refresh halaman.",Pendaftaran Rawat Jalan,layanan paket tidak muncul,"['layanan', 'paket', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Form diagnosa awal tetap kosong,"Field diagnosa awal wajib diisi, klik Simpan.",Pendaftaran Rawat Jalan,form diagnosa awal tetap kosong,"['form', 'diagnosa', 'kosong']"
Troubleshooting Pendaftaran Rawat Jalan,Data pembayaran tidak muncul,"Pilih jenis pasien dan metode pembayaran, refresh halaman jika perlu.",Pendaftaran Rawat Jalan,data pembayaran tidak muncul,"['data', 'pembayaran', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Tombol update DPJP tidak bekerja,"Pastikan dokter DPJP dipilih, jadwal tersedia, refresh halaman.",Pendaftaran Rawat Jalan,tombol update dpjp tidak bekerja,"['tombol', 'update', 'dpjp']"
Troubleshooting Pendaftaran Rawat Jalan,Data pasien Prolanis tidak tampil,"Pastikan pasien sudah terdaftar Prolanis, pilih layanan, klik Refresh.",Pendaftaran Rawat Jalan,data pasien prolanis tidak tampil,"['data', 'pasien', 'prolanis', 'tampil']"
Troubleshooting Pendaftaran Rawat Jalan,Sistem menolak NIK,"Pastikan NIK 16 digit, tanpa spasi atau karakter lain.",Pendaftaran Rawat Jalan,sistem menolak nik,"['sistem', 'menolak', 'nik']"
Troubleshooting Pendaftaran Rawat Jalan,Tombol daftar pasien tidak aktif,"Pastikan semua field wajib telah diisi, refresh halaman bila perlu.",Pendaftaran Rawat Jalan,tombol daftar pasien tidak aktif,"['tombol', 'daftar', 'pasien', 'aktif']"
Troubleshooting Pendaftaran Rawat Jalan,Catatan khusus pasien tidak tersimpan,"Klik Update/Save setelah mengisi catatan, refresh halaman bila perlu.",Pendaftaran Rawat Jalan,catatan khusus pasien tidak tersimpan,"['catatan', 'khusus', 'pasien', 'tersimpan']"
Troubleshooting Pendaftaran Rawat Jalan,Error saat input pendidikan atau pekerjaan,"Gunakan format teks standar, klik Simpan.",Pendaftaran Rawat Jalan,error saat input pendidikan atau pekerjaan,"['error', 'input', 'pendidikan', 'pekerjaan']"
Troubleshooting Pendaftaran Rawat Jalan,Sistem lambat saat pilih dokter,"Kurangi filter kompleks, refresh halaman, pastikan kuota dokter tersedia.",Pendaftaran Rawat Jalan,sistem lambat saat pilih dokter,"['sistem', 'lambat', 'pilih', 'dokter']"
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa hapus data pasien,"Pastikan pasien belum diproses lebih lanjut, hubungi admin IT bila perlu.",Pendaftaran Rawat Jalan,tidak bisa hapus data pasien,"['hapus', 'data', 'pasien']"
Troubleshooting Pendaftaran Rawat Jalan,Kenapa daftar pasien kontrol ulang tidak muncul?,"Pastikan pasien sudah dijadwalkan kontrol ulang, periksa tanggal, klik Refresh.",Pendaftaran Rawat Jalan,kenapa daftar pasien kontrol ulang tidak muncul,"['daftar', 'pasien', 'kontrol', 'ulang', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Bagaimana jika warna status antrian tidak berubah?,"Klik Refresh, pastikan filter status pasien sudah sesuai.",Pendaftaran Rawat Jalan,bagaimana jika warna status antrian tidak berubah,"['warna', 'status', 'antrian', 'berubah']"
Troubleshooting Pendaftaran Rawat Jalan,Tombol cetak ID card tidak aktif,"Pastikan semua data pasien tersimpan lengkap, refresh halaman, cek popup blocker.",Pendaftaran Rawat Jalan,tombol cetak id card tidak aktif,"['tombol', 'cetak', 'id', 'card', 'aktif']"
Troubleshooting Pendaftaran Rawat Jalan,Data pasien booking hilang,"Pastikan pasien sudah melakukan booking, filter status aktif, klik Refresh.",Pendaftaran Rawat Jalan,data pasien booking hilang,"['data', 'pasien', 'booking', 'hilang']"
Troubleshooting Pendaftaran Rawat Jalan,Error saat pilih dokter spesialis,"Pastikan dokter tersedia pada unit poli dan kuota belum penuh, refresh halaman jika perlu.",Pendaftaran Rawat Jalan,error saat pilih dokter spesialis,"['error', 'pilih', 'dokter', 'spesialis']"
Troubleshooting Pendaftaran Rawat Jalan,Data wali tidak bisa dihapus,"Pastikan wali tidak aktif sebagai penanggung pasien, klik Update, refresh halaman.",Pendaftaran Rawat Jalan,data wali tidak bisa dihapus,"['data', 'wali', 'dihapus']"
Troubleshooting Pendaftaran Rawat Jalan,Upload dokumen pendukung gagal,"Pastikan file sesuai format (PDF, JPG, PNG), ukuran maksimal, dan koneksi stabil.",Pendaftaran Rawat Jalan,upload dokumen pendukung gagal,"['upload', 'dokumen', 'pendukung', 'gagal']"
Troubleshooting Pendaftaran Rawat Jalan,Catatan medis CPPT tidak muncul,"Pastikan data pasien sudah tersimpan lengkap, klik Refresh.",Pendaftaran Rawat Jalan,catatan medis cppt tidak muncul,"['catatan', 'medis', 'cppt', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Face recognition error,"Pastikan wajah pasien jelas, pencahayaan cukup, ulangi verifikasi.",Pendaftaran Rawat Jalan,face recognition error,"['face', 'recognition', 'error']"
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa pilih layanan PRB,"Pastikan pasien memiliki penyakit kronis, BPJS aktif, refresh halaman.",Pendaftaran Rawat Jalan,tidak bisa pilih layanan prb,"['pilih', 'layanan', 'prb']"
Troubleshooting Pendaftaran Rawat Jalan,Form Non-Kronis tidak muncul,"Pastikan pasien kategori umum, klik refresh, pilih layanan Non-Kronis.",Pendaftaran Rawat Jalan,form non kronis tidak muncul,"['form', 'non', 'kronis', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Nomor SEP BPJS tidak otomatis muncul,"Pastikan pasien terdaftar BPJS, pilih layanan BPJS, klik Refresh.",Pendaftaran Rawat Jalan,nomor sep bpjs tidak otomatis muncul,"['nomor', 'sep', 'bpjs', 'otomatis', 'muncul']"
Troubleshooting Pendaftaran Rawat Jalan,Data pasien rujukan tidak tampil,"Pastikan asal rujukan, nomor, dan tanggal rujukan sudah lengkap, klik Refresh.",Pendaftaran Rawat Jalan,data pasien rujukan tidak tampil,"['data', 'pasien', 'rujukan', 'tampil']"
Troubleshooting Pendaftaran Rawat Jalan,Tombol batalkan transaksi tidak aktif,"Pastikan pasien belum diproses lebih lanjut, refresh halaman bila perlu.",Pendaftaran Rawat Jalan,tombol batalkan transaksi tidak aktif,"['tombol', 'batalkan', 'transaksi', 'aktif']"
Troubleshooting Pendaftaran Rawat Jalan,Filter status pasien tidak bekerja,"Pastikan filter aktif, klik Refresh, cek data pasien.",Pendaftaran Rawat Jalan,filter status pasien tidak bekerja,"['filter', 'status', 'pasien']"
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa cetak stiker pasien,"Periksa printer, klik Refresh, pastikan popup blocker tidak aktif.",Pendaftaran Rawat Jalan,tidak bisa cetak stiker pasien,"['cetak', 'stiker', 'pasien']"
Troubleshooting Pendaftaran Rawat Jalan,Upload foto pasien error,"Pastikan format JPG/PNG, ukuran maksimal 1 MB, refresh browser.",Pendaftaran Rawat Jalan,upload foto pasien error,"['upload', 'foto', 'pasien', 'error']"
Troubleshooting Pendaftaran Rawat Jalan,Tombol update catatan khusus tidak bekerja,"Pastikan semua field wajib sudah diisi, klik Simpan, refresh halaman bila perlu.",Pendaftaran Rawat Jalan,tombol update catatan khusus tidak bekerja,"['tombol', 'update', 'catatan', 'khusus']"
Troubleshooting Pendaftaran Rawat Jalan,Rekam medis elektronik tidak muncul,"Pastikan pasien sudah disimpan, refresh halaman, cek hak akses.",Pendaftaran Rawat Jalan,rekam medis elektronik tidak muncul,"['rekam', 'medis', 'elektronik', 'muncul']"
