intent,question,answer,label
Troubleshooting Pendaftaran Rawat Jalan,Data pasien Prolanis tidak muncul,Pastikan pasien terdaftar Prolanis dan pilih layanan sesuai.,Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tombol batalkan transaksi tidak aktif,"Pastikan pasien belum diproses lebih lanjut, refresh halaman bila perlu.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Data pembayaran tidak muncul,Pastikan jenis pasien dan jenis pembayaran sudah dipilih.,Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Error saat upload foto pasien,"Pastikan format JPG/PNG, maksimal 1 MB, refresh browser jika perlu.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Sistem lambat saat pilih dokter,"Kurangi filter kompleks, refresh halaman, dan pastikan kuota dokter tersedia.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Data pasien ganda muncul,"Periksa NIK pasien, hapus data duplikat, dan refresh daftar pasien.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Form SLA tidak tampil,"Pastikan pasien sudah tersimpan, lalu refresh halaman.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Error saat cetak ID card pasien,"Periksa printer, popup blocker, refresh browser, dan coba ulang.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Upload dokumen tambahan error,"Periksa ukuran file, format, ulangi upload, atau hubungi admin IT.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Data pasien rujukan tidak muncul,"Pastikan asal rujukan, nomor, dan tanggal rujukan sudah lengkap, klik Refresh.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Filter status pasien tidak bekerja,"Pastikan filter aktif, klik Refresh, dan cek data pasien.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Data pasien tidak muncul di list kontrol ulang,"Klik Refresh, pastikan tanggal kontrol benar.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa cetak CPPT,"Pastikan data pasien tersimpan, browser mendukung script, dan klik Refresh.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Error saat pilih layanan Non-Kronis,"Pastikan pasien kategori umum, refresh halaman jika tidak muncul.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Sistem menolak NIK pasien,"Pastikan NIK 16 digit, tanpa spasi atau karakter lain.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tombol update catatan medis tidak aktif,Pastikan semua field wajib diisi dan klik Simpan.,Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Rekam medis elektronik tidak muncul,"Pastikan pasien sudah disimpan, refresh halaman, dan cek hak akses.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa klik tombol daftar,"Pastikan semua field wajib sudah diisi, termasuk jenis layanan dan dokter DPJP.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Data pasien baru tidak muncul di List Pasien,"Klik Refresh, pastikan filter status pasien sesuai, dan koneksi internet stabil.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tombol cetak status rawat jalan tidak aktif,"Pastikan data pasien sudah tersimpan lengkap, refresh halaman jika perlu.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,List pasien Booking error,"Pastikan pasien sudah melakukan booking, filter status aktif, klik Refresh.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Form pembayaran tidak muncul,"Pilih jenis pasien (umum, BPJS, karyawan, asuransi), refresh halaman jika perlu.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Error saat memilih unit poli,"Pastikan unit poli dipilih dari dropdown, refresh halaman bila sistem lambat.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa hapus data pasien,"Pastikan pasien belum diproses lebih lanjut, atau hubungi admin IT.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Warna antrian pasien tidak berubah,"Klik Refresh, pastikan filter status pasien sudah sesuai.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Nomor rekam medis pasien tidak muncul,"Pastikan semua field wajib sudah lengkap, lalu klik Simpan, refresh halaman bila perlu.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Error saat pilih dokter DPJP,"Pastikan jadwal dokter tersedia, kuota tidak penuh, filter unit poli sesuai.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa upload foto pasien,"Periksa format file (JPG/PNG), ukuran maksimal 1 MB, refresh browser.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Form diagnosa awal tetap kosong,"Field diagnosa awal wajib diisi, lalu klik Simpan.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tombol update data wali tidak aktif,Pastikan field nama dan nomor kontak wali sudah terisi lengkap.,Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Data pasien Prolanis tidak muncul,"Pastikan pasien terdaftar Prolanis dan pilih layanan Prolanis, klik Refresh.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Error saat pilih layanan PRB,Pastikan pasien memiliki riwayat penyakit kronis dan data BPJS valid.,Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,List pasien kontrol ulang kosong,Pastikan pasien sudah dijadwalkan kontrol ulang dan filter tanggal benar.,Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa cetak stiker pasien,"Periksa koneksi printer, popup blocker, refresh browser, coba ulang.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Upload dokumen tambahan tidak berhasil,"Pastikan ukuran file sesuai, format file mendukung, ulangi upload.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Sistem error saat cetak CPPT,"Pastikan semua data medis lengkap dan browser mendukung script, klik Refresh.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Face recognition gagal,"Pastikan wajah jelas, pencahayaan cukup, ulangi verifikasi.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Layanan Non-Kronis tidak muncul,"Pastikan pasien kategori umum, refresh halaman, pilih layanan Non-Kronis.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Sistem menolak NIK pasien,"Pastikan NIK 16 digit, tanpa spasi atau karakter lain.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tombol update catatan medis tidak aktif,"Pastikan semua field wajib sudah diisi, klik Simpan, refresh halaman bila perlu.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Rekam medis elektronik tidak tampil,"Pastikan pasien sudah tersimpan, refresh halaman, dan cek hak akses.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Error saat pilih paket layanan,"Pastikan opsi Layanan Paket dipilih Ya, refresh halaman.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Nomor SEP tidak otomatis muncul,"Pastikan pasien terdaftar BPJS, pilih layanan BPJS, klik Refresh.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Data pasien rujukan tidak muncul,"Pastikan asal rujukan, nomor, tanggal sudah lengkap, klik Refresh.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Error saat pilih cara masuk pasien,Pastikan dropdown Cara Masuk sesuai opsi yang tersedia.,Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tombol batalkan transaksi tidak aktif,"Pastikan pasien belum diproses, refresh halaman bila perlu.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Filter status pasien tidak bekerja,"Pastikan filter aktif, klik Refresh, cek data pasien.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Data pasien tidak muncul di list kontrol ulang,"Klik Refresh, pastikan tanggal kontrol sesuai.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Catatan khusus pasien tidak tersimpan,"Klik Update/Save setelah mengisi catatan, refresh halaman bila perlu.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Error saat input pendidikan atau pekerjaan,"Gunakan format teks standar, klik Simpan.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Sistem lambat saat pilih dokter,"Kurangi filter kompleks, refresh halaman, pastikan kuota dokter tersedia.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Data pasien ganda muncul,"Periksa NIK, hapus duplikat, refresh daftar pasien.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Kenapa daftar pasien kontrol ulang tidak muncul?,"Pastikan pasien sudah dijadwalkan kontrol ulang, periksa tanggal, klik Refresh.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Bagaimana jika warna status antrian tidak berubah?,"Klik Refresh, pastikan filter status pasien sudah sesuai.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tombol cetak ID card tidak aktif,"Pastikan semua data pasien tersimpan lengkap, refresh halaman, cek popup blocker.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Data pasien booking hilang,"Pastikan pasien sudah melakukan booking, filter status aktif, klik Refresh.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Error saat pilih dokter spesialis,"Pastikan dokter tersedia pada unit poli dan kuota belum penuh, refresh halaman jika perlu.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Data wali tidak bisa dihapus,"Pastikan wali tidak aktif sebagai penanggung pasien, klik Update, refresh halaman.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Upload dokumen pendukung gagal,"Pastikan file sesuai format (PDF, JPG, PNG), ukuran maksimal, dan koneksi stabil.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Catatan medis CPPT tidak muncul,"Pastikan data pasien sudah tersimpan lengkap, klik Refresh.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Face recognition error,"Pastikan wajah pasien jelas, pencahayaan cukup, ulangi verifikasi.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa pilih layanan PRB,"Pastikan pasien memiliki penyakit kronis, BPJS aktif, refresh halaman.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Form Non-Kronis tidak muncul,"Pastikan pasien kategori umum, klik refresh, pilih layanan Non-Kronis.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Nomor SEP BPJS tidak otomatis muncul,"Pastikan pasien terdaftar BPJS, pilih layanan BPJS, klik Refresh.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Data pasien rujukan tidak tampil,"Pastikan asal rujukan, nomor, dan tanggal rujukan sudah lengkap, klik Refresh.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tombol batalkan transaksi tidak aktif,"Pastikan pasien belum diproses lebih lanjut, refresh halaman bila perlu.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Filter status pasien tidak bekerja,"Pastikan filter aktif, klik Refresh, cek data pasien.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa cetak stiker pasien,"Periksa printer, klik Refresh, pastikan popup blocker tidak aktif.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Upload foto pasien error,"Pastikan format JPG/PNG, ukuran maksimal 1 MB, refresh browser.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tombol update catatan khusus tidak bekerja,"Pastikan semua field wajib sudah diisi, klik Simpan, refresh halaman bila perlu.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Rekam medis elektronik tidak muncul,"Pastikan pasien sudah disimpan, refresh halaman, cek hak akses.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Sistem lambat saat memilih dokter,"Kurangi filter kompleks, refresh halaman, pastikan kuota dokter tersedia.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Data pasien ganda muncul,"Periksa NIK pasien, hapus duplikat, refresh daftar pasien.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Layanan paket tidak muncul,"Pastikan opsi Layanan Paket dipilih Ya, refresh halaman.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Form diagnosa awal tetap kosong,"Field diagnosa awal wajib diisi, klik Simpan.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Data pembayaran tidak muncul,"Pilih jenis pasien dan metode pembayaran, refresh halaman jika perlu.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tombol update DPJP tidak bekerja,"Pastikan dokter DPJP dipilih, jadwal tersedia, refresh halaman.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Data pasien Prolanis tidak tampil,"Pastikan pasien sudah terdaftar Prolanis, pilih layanan, klik Refresh.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Sistem menolak NIK,"Pastikan NIK 16 digit, tanpa spasi atau karakter lain.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tombol daftar pasien tidak aktif,"Pastikan semua field wajib telah diisi, refresh halaman bila perlu.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Catatan khusus pasien tidak tersimpan,"Klik Update/Save setelah mengisi catatan, refresh halaman bila perlu.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Error saat input pendidikan atau pekerjaan,"Gunakan format teks standar, klik Simpan.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Sistem lambat saat pilih dokter,"Kurangi filter kompleks, refresh halaman, pastikan kuota dokter tersedia.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa hapus data pasien,"Pastikan pasien belum diproses lebih lanjut, hubungi admin IT bila perlu.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Kenapa daftar pasien kontrol ulang tidak muncul?,"Pastikan pasien sudah dijadwalkan kontrol ulang, periksa tanggal, klik Refresh.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Bagaimana jika warna status antrian tidak berubah?,"Klik Refresh, pastikan filter status pasien sudah sesuai.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tombol cetak ID card tidak aktif,"Pastikan semua data pasien tersimpan lengkap, refresh halaman, cek popup blocker.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Data pasien booking hilang,"Pastikan pasien sudah melakukan booking, filter status aktif, klik Refresh.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Error saat pilih dokter spesialis,"Pastikan dokter tersedia pada unit poli dan kuota belum penuh, refresh halaman jika perlu.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Data wali tidak bisa dihapus,"Pastikan wali tidak aktif sebagai penanggung pasien, klik Update, refresh halaman.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Upload dokumen pendukung gagal,"Pastikan file sesuai format (PDF, JPG, PNG), ukuran maksimal, dan koneksi stabil.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Catatan medis CPPT tidak muncul,"Pastikan data pasien sudah tersimpan lengkap, klik Refresh.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Face recognition error,"Pastikan wajah pasien jelas, pencahayaan cukup, ulangi verifikasi.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa pilih layanan PRB,"Pastikan pasien memiliki penyakit kronis, BPJS aktif, refresh halaman.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Form Non-Kronis tidak muncul,"Pastikan pasien kategori umum, klik refresh, pilih layanan Non-Kronis.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Nomor SEP BPJS tidak otomatis muncul,"Pastikan pasien terdaftar BPJS, pilih layanan BPJS, klik Refresh.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Data pasien rujukan tidak tampil,"Pastikan asal rujukan, nomor, dan tanggal rujukan sudah lengkap, klik Refresh.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tombol batalkan transaksi tidak aktif,"Pastikan pasien belum diproses lebih lanjut, refresh halaman bila perlu.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Filter status pasien tidak bekerja,"Pastikan filter aktif, klik Refresh, cek data pasien.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa cetak stiker pasien,"Periksa printer, klik Refresh, pastikan popup blocker tidak aktif.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Upload foto pasien error,"Pastikan format JPG/PNG, ukuran maksimal 1 MB, refresh browser.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tombol update catatan khusus tidak bekerja,"Pastikan semua field wajib sudah diisi, klik Simpan, refresh halaman bila perlu.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Rekam medis elektronik tidak muncul,"Pastikan pasien sudah disimpan, refresh halaman, cek hak akses.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Sistem lambat saat memilih dokter,"Kurangi filter kompleks, refresh halaman, pastikan kuota dokter tersedia.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Data pasien ganda muncul,"Periksa NIK pasien, hapus duplikat, refresh daftar pasien.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Layanan paket tidak muncul,"Pastikan opsi Layanan Paket dipilih Ya, refresh halaman.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Form diagnosa awal tetap kosong,"Field diagnosa awal wajib diisi, klik Simpan.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Data pembayaran tidak muncul,"Pilih jenis pasien dan metode pembayaran, refresh halaman jika perlu.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tombol update DPJP tidak bekerja,"Pastikan dokter DPJP dipilih, jadwal tersedia, refresh halaman.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Data pasien Prolanis tidak tampil,"Pastikan pasien sudah terdaftar Prolanis, pilih layanan, klik Refresh.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Sistem menolak NIK,"Pastikan NIK 16 digit, tanpa spasi atau karakter lain.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tombol daftar pasien tidak aktif,"Pastikan semua field wajib telah diisi, refresh halaman bila perlu.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Catatan khusus pasien tidak tersimpan,"Klik Update/Save setelah mengisi catatan, refresh halaman bila perlu.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Error saat input pendidikan atau pekerjaan,"Gunakan format teks standar, klik Simpan.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Sistem lambat saat pilih dokter,"Kurangi filter kompleks, refresh halaman, pastikan kuota dokter tersedia.",Pendaftaran Rawat Jalan
Troubleshooting Pendaftaran Rawat Jalan,Tidak bisa hapus data pasien,"Pastikan pasien belum diproses lebih lanjut, hubungi admin IT bila perlu.",Pendaftaran Rawat Jalan
Pendaftaran Rawat Darurat Umum,Apa fungsi halaman Pendaftaran Rawat Darurat?,Halaman Pendaftaran Rawat Darurat digunakan untuk mengelola data pasien sejak pendaftaran awal hingga penerbitan bukti registrasi.,Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Halaman ini untuk apa saja?,"Untuk pendaftaran pasien baru, pengelolaan antrian, pemilihan dokter, dan penerbitan bukti registrasi.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Bagaimana cara mendaftar pasien baru?,"Isi formulir pasien baru, pilih jenis layanan, masukkan data dokter, metode pembayaran, lalu klik Daftarkan.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Apa saja field wajib di formulir pasien baru?,"Nama, Nomor ID (NIK), Tanggal Lahir/Umur, Jenis Kelamin, Golongan Darah, Nomor HP.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Field opsional apa saja?,"Email, tempat lahir, agama, pendidikan, pekerjaan, status pernikahan, dan unggah foto pasien.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Apa itu layanan PRB?,PRB (Program Rujuk Balik) adalah layanan BPJS untuk pasien penyakit kronis stabil agar obat bisa diambil di faskes tingkat pertama.,Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Apa itu layanan Prolanis?,Prolanis adalah program promotif-preventif BPJS untuk meningkatkan kualitas hidup pasien dengan penyakit kronis.,Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Apa itu layanan PRB-Prolanis?,"Pasien yang terdaftar dalam kedua program sekaligus, PRB dan Prolanis.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Apa itu layanan Non-Kronis?,Pasien umum tanpa riwayat penyakit kronis.,Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Apakah unggah foto wajib?,"Tidak, foto pasien bersifat opsional dengan ukuran maksimal 1 MB.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Bagaimana cara isi alamat pasien?,"Lengkapi alamat lengkap, negara, provinsi, kota, kecamatan, kelurahan, RT/RW, kode pos. Bisa pakai opsi “sama dengan wali”.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Bagaimana cara menambahkan data wali pasien?,"Klik Tambah Wali, pilih hubungan, isi nama dan nomor kontak, klik Update.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Bisa menambahkan lebih dari satu wali?,"Ya, sistem memungkinkan menambahkan beberapa wali dan menandai aktif/tidak aktif.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Apa itu kolom Catatan Khusus?,Untuk mencatat kondisi atau informasi tambahan mengenai pasien.,Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Bagaimana cara isi Form Pendaftaran Rawat Darurat?,"Sistem menampilkan form dengan tanggal dan jam otomatis, profil pasien, lalu isi cara masuk, diagnosa awal, dokter, metode pembayaran.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Apa saja pilihan cara masuk pasien?,"Datang sendiri, dibawa dokter, kasus polisi, kontrol ulang, rujukan, sewa kamar.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,"Jika pilih rujukan, apa yang perlu diisi?","Asal rujukan, nomor rujukan, tanggal rujukan.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Apa itu Diagnosa Awal?,Diagnosa awal wajib diisi sebagai dasar pelayanan medis.,Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Bagaimana memilih dokter menangani?,"Pilih dari daftar sesuai jadwal praktik dokter, kuota pasien, unit, dan filter unit jika perlu.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Bagaimana memilih metode pembayaran?,"Pilih umum, karyawan, asuransi, atau perusahaan. Jika asuransi/perusahaan, isi data polis lengkap.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Apa itu Layanan Paket?,"Opsi tambahan, bila dipilih “Ya” akan menampilkan layanan paket tersedia.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Bagaimana cara mencatat biaya pendaftaran?,Sistem mencatat otomatis setelah data lengkap.,Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Apa itu Nota Registrasi?,"Bukti registrasi pasien yang berisi nomor pendaftaran, nomor rekam medis, data pasien, dokter, unit tujuan, dan data petugas.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Bagaimana kode warna antrian pasien?,"Kuning: belum diverifikasi, Hijau: sudah mendaftar, Putih: sedang dilayani, Abu-abu: batal, Merah: dipulangkan, Biru: rujukan, Ungu: check-in JKN.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Fitur apa saja di daftar antrian pasien?,"Edit/verifikasi data pasien, batalkan transaksi, search bar, filter status, refresh data.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Apa detail yang muncul saat klik pasien di antrian?,"Cetak Nota, ID Card, Stiker/Label, Status Rawat Jalan, CPPT, KYC, SEP, upload dokumen, General Consent, sinkronisasi SATUSEHAT, rekam medis tambahan, SITB, Face Recognition.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Apa yang tersimpan di Rekam Medis Elektronik?,"Profil pasien, riwayat kunjungan, alergi, pemeriksaan fisik, SOAP, SOAPIER, ICD-X, operasi, tindakan, terapi, resep, penunjang medis, membership, lampiran, file, SBAR, ADIME, Form ERM, hasil lab.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Berapa data yang ditampilkan per halaman?,"Maksimal 34 data per halaman, navigasi tersedia jika lebih.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Bisa mengurutkan atau memfilter data pasien?,"Ya, sistem menyediakan filter, sort, cetak, atau unduh sesuai kebutuhan.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Bagaimana cara pasien mendaftar rawat darurat jika datang sendiri?,Pilih opsi Datang Sendiri pada form cara masuk saat pendaftaran.,Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Bagaimana jika pasien dibawa dokter?,Pilih opsi Dibawa Dokter dan isi data tambahan sesuai instruksi.,Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Apa yang harus diisi untuk pasien kasus polisi?,Pilih Kasus Polisi pada form cara masuk dan lengkapi data tambahan sesuai prosedur.,Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Bagaimana cara mendaftar pasien rujukan?,"Pilih Rujukan, kemudian isi asal rujukan, nomor rujukan, dan tanggal rujukan.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Apakah semua pasien harus punya nomor ID?,"Ya, NIK/KTP wajib diisi agar pasien bisa terdaftar dalam sistem.",Pendaftaran Rawat Darurat
Pendaftaran Rawat Darurat Umum,Bagaimana sistem menampilkan profil pasien?,"Setelah data pasien tersimpan, ringkasan profil pasien akan tampil secara otomatis untuk verifikasi.",Pendaftaran Rawat Darurat
